date,timestamp,ch1_entropy,ch1_skewness,ch1_interquartile_range,ch1_kurtosis,ch1_percentile_75,ch1_range,ch1_maximum,ch1_median,ch1_percentile_90,ch1_mean_absolute_deviation,ch2_entropy,ch2_skewness,ch2_interquartile_range,ch2_kurtosis,ch2_percentile_75,ch2_range,ch2_maximum,ch2_median,ch2_percentile_90,ch2_mean_absolute_deviation
2024-11-10,2024-11-10T22:19:05.705775,6.0601621567315505,0.7466678735451586,7.872976181689168,-0.24637324777489944,-117.25907570362894,27.884581505483908,-103.8517581699233,-121.95702683543716,-110.59962617819221,4.908654478245742,6.06118573460131,1.413302797101581,4.512766893859549,3.89885912916151,-141.48527328244737,23.85802485007582,-125.56276245249472,-144.31327778931566,-139.42748320474928,2.587543851578934
2024-11-10,2024-11-10T22:19:08.098216,6.060300012160648,0.759885837400072,7.523788059664014,-0.11462179015934737,-117.35888146319411,27.719784261171824,-103.73014803781062,-122.21289234041011,-111.56237701782571,4.650508218483938,6.061182582314323,1.4761035268161353,4.172760027972032,3.878408970745305,-141.85571796921747,23.414234002733977,-125.95776519048174,-144.71777408152994,-139.36456890729323,2.6149163589489417
2024-11-10,2024-11-10T22:19:10.494531,6.0602384643863285,0.7646449372507131,7.559966088279779,-0.15088049363105194,-117.72065301018513,27.510492433404224,-103.2437672070548,-122.1678658621535,-111.87951615255028,4.739441819169201,6.061177311532411,1.4278536859206423,4.383088142123569,3.767468045503266,-141.8420035631394,23.65197348064474,-125.71587087044334,-144.5881651094976,-139.62025465097287,2.62461438821386
2024-11-10,2024-11-10T22:20:20.517115,6.060276491753806,0.5844339558556138,7.339424561650105,-0.3923107888459847,-117.17746654450373,26.46862671299037,-104.56947444471744,-121.4271600458526,-111.14453385211205,4.722067155803152,6.061259238618713,2.0430638823845473,3.457896482428879,8.405954902967842,-143.3383876527878,23.03713786357602,-126.3917830314951,-145.18336536797102,-141.41220514450384,2.0804888826637593
2024-11-10,2024-11-10T22:20:22.910013,6.060330000544527,0.6377266608388633,7.066737471404977,-0.24708330777649357,-117.5930989179493,25.43068937094148,-104.41481255355436,-121.68058152183147,-111.77420939491233,4.623135361767938,6.061262128561964,2.139684106451856,3.2524417656559024,9.221180970644658,-143.52291063448354,23.15715457595266,-126.18432822902255,-145.6224631690663,-141.7165819276871,2.064612570190656
2024-11-10,2024-11-10T22:20:25.301763,6.060332709340516,0.6896415750736931,6.427101736038637,-0.14564235040420792,-118.04192405065196,25.388243790069936,-104.6386320951782,-121.68149383381511,-111.2916368473114,4.535345351254547,6.061240251329513,1.9112337993987185,3.4996419675919412,7.004107163552661,-143.27556813859195,22.361881763844977,-126.94420030848825,-145.16965203820484,-141.0386389075456,2.1804620595121547
2024-11-10,2024-11-10T22:20:27.692937,6.0603108563351284,0.6410202421795577,6.820109298634534,-0.1450027560980458,-117.34271265277285,26.60707022943882,-103.82959303115487,-121.8052477768463,-111.67414276804679,4.5760470406369365,6.0612804934713145,2.306260961610315,3.145292625809418,10.70800300757397,-143.8009826287145,22.42948382093644,-126.67894730528656,-145.47619001322727,-142.10302315479876,1.931987198665919
2024-11-10,2024-11-10T22:20:30.096412,6.060556929421875,0.746164879504339,5.655305564687296,0.2797168193534607,-118.09444920040407,26.103130648810506,-103.75633438748751,-121.55939224218784,-112.9888157901748,4.032144798128836,6.06125975418079,2.0061791540664453,3.4223722006063895,7.923521807926276,-143.4435078738449,22.408435665836436,-126.8606038364405,-145.52697431357163,-141.39035998100167,2.1244756352317573
2024-11-10,2024-11-10T22:20:32.492115,6.060453989816965,0.7741116777081751,6.691514156203567,0.2160163254177383,-118.00538274492422,27.306960813761037,-102.9767809966232,-121.83770857690081,-112.86029815818077,4.248697964344737,6.061252179898245,1.8634499794038901,3.708326170149462,7.148745811942083,-143.27457504560587,22.83441254708916,-127.31969987125055,-145.59644767338273,-141.57945713643045,2.1897191759701795
2024-11-10,2024-11-10T22:20:34.890491,6.060492322375897,0.7765419154763389,6.093927492947586,0.37710654113236286,-118.3501303421273,26.517572346763174,-103.5398966007041,-121.41230051613971,-112.9478970208682,4.100625767164574,6.061251143756515,1.8707419256980016,3.650835831095293,6.581877684822043,-142.97200084117466,22.113203953099116,-126.9715283058998,-145.22245945233723,-140.76329726190517,2.1613062729578516
