entropy,skewness,interquartile_range,kurtosis,percentile_75,range,maximum,median,percentile_90,mean_absolute_deviation,session,timestamp,device_label
2.3702851293464513,9.497831873446668,3.1108452967652796e-08,91.79689052785238,3.332836274948788e-08,0.0002014108321975468,0.0002014112398499162,5.01127073119212e-09,2.265757077806901e-07,4.179807295702384e-06,1,2024-12-02T13:38:34.919500,empty
2.3808270115704824,9.473208014692737,2.777179719204627e-08,91.18785120341262,2.9712782190427846e-08,0.000191424211608134,0.00019142463259923581,4.98377156933962e-09,2.1762659440584274e-07,4.1587157080848705e-06,2,2024-12-02T13:38:37.562492,empty
2.4128243514621763,9.507579963212358,3.171409067682346e-08,92.47678221179116,3.3545112751256036e-08,0.00019215244638709524,0.00019215285345742624,4.339031399734875e-09,1.9256243165774078e-07,4.09494900595492e-06,3,2024-12-02T13:38:40.607042,empty
2.389966409090869,9.54745547615659,2.963685051013658e-08,92.82947491461405,3.1550171063685085e-08,0.00019146375017628446,0.00019146414467888754,5.133775030576953e-09,1.963282718857151e-07,4.069778666778435e-06,4,2024-12-02T13:38:43.037951,empty
2.407782828864105,9.589141954783068,3.1219035733049515e-08,93.95176873677977,3.325708444256512e-08,0.00019232338164315623,0.0001923237486129442,4.886845965895144e-09,1.988895438439165e-07,4.029558005692827e-06,5,2024-12-02T13:38:45.519413,empty
2.3862090274404526,9.435838730394961,3.0843274773394254e-08,90.78028495860121,3.2575872399813215e-08,0.00019670506392567997,0.00019670542623924616,4.235182153768582e-09,1.9421808550664396e-07,4.2507482105621664e-06,6,2024-12-02T13:38:47.505641,empty
2.3753163596746085,9.516673888082414,3.1561100116181824e-08,92.18378826237803,3.387422295272222e-08,0.00019807336607016366,0.0001980738784643821,5.2740429213733215e-09,2.2370580620864723e-07,4.151986742302328e-06,7,2024-12-02T13:38:49.533020,empty
2.40402097865996,9.513936982443079,3.154276615357209e-08,92.41110893156417,3.335030323652583e-08,0.00019386082951030055,0.00019386118372067624,4.753479562672593e-09,1.9297253148599713e-07,4.1125861990135574e-06,8,2024-12-02T13:38:51.432588,empty
2.39029654031824,9.45453003468805,3.183598063678725e-08,91.16037320631564,3.363815685722477e-08,0.00019422447735797533,0.00019422482964163719,4.738933526804625e-09,1.7376638695497977e-07,4.208827125920568e-06,9,2024-12-02T13:38:53.257744,empty
2.4097663268935303,9.563331784482328,2.9181800206921565e-08,93.59805813838587,3.112832044958782e-08,0.00019502715816768464,0.00019502756693905578,4.315169462847654e-09,2.0950679863510457e-07,4.053105704810301e-06,10,2024-12-02T13:38:55.942923,empty
2.364830206754883,9.438029600723093,2.7462069608228062e-08,90.69649953699101,2.9452379028604332e-08,0.00020941558415617906,0.00020941591048728644,4.5991569757461834e-09,1.9692536846309187e-07,4.287285352384327e-06,11,2024-12-02T13:38:57.950011,empty
2.4019548270078026,9.515784963304606,3.1635461201288284e-08,92.2646309961915,3.3742503012896e-08,0.00019068921331596753,0.00019068958776512202,5.653664448194856e-09,1.8665128735500258e-07,4.066479502797814e-06,12,2024-12-02T13:39:00.332403,empty
2.4097555355196154,9.511255279409712,2.978241604051957e-08,92.47720000058254,3.1574469467604124e-08,0.00019032831541806227,0.00019032867995284083,4.662398855652725e-09,1.8422291810186277e-07,4.090972869424858e-06,13,2024-12-02T13:39:02.557308,empty
2.407114780272605,9.463299893183823,3.1695660461920477e-08,91.44712769071866,3.357496275032761e-08,0.0001892746516019446,0.00018927503708602352,4.841866624327955e-09,1.7701941393227598e-07,4.12827590782728e-06,14,2024-12-02T13:39:04.613827,empty
